altitude_km,semi_major_axis_m,inclination_deg,raan_deg,true_anomaly_deg,eccentricity,argument_of_perigee_deg,capacity_factor,view_factor,full_sunlight_hours,any_eclipse_hours,any_umbra_hours,any_penumbra_hours,full_sunlight_percent,any_eclipse_percent,best_score,optimizer_iterations,function_evaluations
400.0,6778137.0,109.21148613130778,325.5502328106212,96.05114831412601,0.0,0.0,0.7397260273972602,0.33077827714368924,6480.0,2280.0,2246.0,34.0,73.97260273972603,26.027397260273972,-0.5961187214611874,3,48
800.0,7178137.0,74.8274061910943,230.2956485651635,129.9204453613812,0.0,0.0,0.795662100456621,0.27061055848238535,6970.0,1790.0,1746.0,44.0,79.5662100456621,20.4337899543379,-0.2559360730593606,3,48
1500.0,7878137.0,69.0755610898027,177.08895852766932,141.19234885964943,0.0,0.0,0.8506849315068493,0.2065087743827857,7452.0,1308.0,1273.0,35.0,85.06849315068493,14.931506849315069,0.07009132420091331,3,48
3000.0,9378137.0,103.45880183260476,291.3592885695666,285.24694740437286,0.0,0.0,0.9073059360730593,0.13344358772113424,7948.0,812.0,784.0,28.0,90.73059360730593,9.269406392694064,0.40662100456621003,3,48
5000.0,11378137.0,86.53912345108152,259.7973975691223,358.9377431020682,0.0,0.0,0.942351598173516,0.08594334730119096,8255.0,505.0,488.0,17.0,94.2351598173516,5.764840182648402,0.6118721461187214,3,48
10000.0,16378137.0,89.01229950478971,280.6894633587378,226.7733617440996,0.0,0.0,0.9744292237442922,0.03947195592595787,8536.0,224.0,216.0,8.0,97.44292237442922,2.557077625570776,0.8002283105022829,2,36
15000.0,21378137.0,56.96721248778118,180.42971419272257,155.31865967895263,0.0,0.0,0.9850456621004566,0.022771511824775548,8629.0,131.0,123.0,8.0,98.50456621004567,1.495433789954338,0.8639269406392693,3,48
20000.0,26378137.0,83.23211867363152,131.51795373634212,315.2806834022523,0.0,0.0,0.9898401826484018,0.014836488994702579,8671.0,89.0,76.0,13.0,98.98401826484017,1.0159817351598173,0.8949771689497715,1,24
25000.0,31378137.0,86.35780563366308,284.37229232646627,248.19854177204985,0.0,0.0,0.9931506849315068,0.010438317817514253,8700.0,60.0,57.0,3.0,99.31506849315068,0.684931506849315,0.9102739726027397,1,24
30000.0,36378137.0,103.17234786415551,297.08710814180256,135.77339480464985,0.0,0.0,0.9950913242009133,0.007745037191565829,8717.0,43.0,38.0,5.0,99.50913242009133,0.4908675799086758,0.9228310502283105,1,24
35786.0,42164137.0,114.42246338492126,1.0360350083385867,144.36047667519819,0.0,0.0,0.9970319634703196,0.005753700889576441,8734.0,26.0,24.0,2.0,99.70319634703196,0.2968036529680365,0.9331050228310502,2,36
