0,1,2,table_number,source
"Storey County, Nevada",1.20,1.22,10,Google Data Centers PUE page
"Dublin, Ireland",1.08,1.09,10,Google Data Centers PUE page
"St. Ghislain, Belgium",1.08,1.09,10,Google Data Centers PUE page
"Eemshaven, Netherlands",1.07,1.07,10,Google Data Centers PUE page
"Fredericia, Denmark",1.10,1.11,10,Google Data Centers PUE page
"Hamina, Finland",1.09,1.09,10,Google Data Centers PUE page
"Changhua County, Taiwan",1.13,1.12,10,Google Data Centers PUE page
Singapore,1.13,1.13,10,Google Data Centers PUE page
Singapore (2nd facility),1.19,1.20,10,Google Data Centers PUE page
"Quilicura, Chile",1.09,1.09,10,Google Data Centers PUE page
Fleet wide PUE,Quarterly PUE,Trailing twelve-month (TTM) PUE,11,Google Data Centers PUE page
Fleet,1.12,1.10,11,Google Data Centers PUE page
Campuses,Quarterly PUE,Trailing twelve-month (TTM) PUE,11,Google Data Centers PUE page
"Douglas County, Georgia",1.13,1.09,11,Google Data Centers PUE page
"Lenoir, North Carolina",1.12,1.09,11,Google Data Centers PUE page
"Lowcountry, South Carolina",1.14,1.11,11,Google Data Centers PUE page
"Montgomery County, Tennessee",1.13,1.10,11,Google Data Centers PUE page
"Jackson County, Alabama",1.13,1.11,11,Google Data Centers PUE page
"Loudoun County, Virginia",1.10,1.08,11,Google Data Centers PUE page
"Loudoun County, Virginia (2nd facility)",1.11,1.08,11,Google Data Centers PUE page
"New Albany, Ohio",1.11,1.11,11,Google Data Centers PUE page
"Council Bluffs, Iowa",1.14,1.11,11,Google Data Centers PUE page
"Council Bluffs, Iowa (2nd facility)",1.09,1.08,11,Google Data Centers PUE page
"Papillion, Nebraska",1.10,1.10,11,Google Data Centers PUE page
"Mayes County, Oklahoma",1.14,1.10,11,Google Data Centers PUE page
"Midlothian, Texas",1.16,1.13,11,Google Data Centers PUE page
"The Dalles, Oregon",1.10,1.10,11,Google Data Centers PUE page
"The Dalles, Oregon (2nd facility)",1.08,1.06,11,Google Data Centers PUE page
"Henderson, Nevada",1.10,1.09,11,Google Data Centers PUE page
"Storey County, Nevada",1.24,1.21,11,Google Data Centers PUE page
"Dublin, Ireland",1.08,1.09,11,Google Data Centers PUE page
"St. Ghislain, Belgium",1.09,1.09,11,Google Data Centers PUE page
"Eemshaven, Netherlands",1.09,1.07,11,Google Data Centers PUE page
"Fredericia, Denmark",1.08,1.11,11,Google Data Centers PUE page
"Hamina, Finland",1.10,1.09,11,Google Data Centers PUE page
"Changua County, Taiwan",1.15,1.12,11,Google Data Centers PUE page
Singapore,1.13,1.13,11,Google Data Centers PUE page
Singapore (2nd facility),1.19,1.19,11,Google Data Centers PUE page
"Quilicura, Chile",1.09,1.09,11,Google Data Centers PUE page
Fleet wide PUE,Quarterly PUE,Trailing twelve-month (TTM) PUE,12,Google Data Centers PUE page
Fleet,1.08,1.10,12,Google Data Centers PUE page
Campuses,Quarterly PUE,Trailing twelve-month (TTM) PUE,12,Google Data Centers PUE page
"Douglas County, Georgia",1.08,1.09,12,Google Data Centers PUE page
"Lenoir, North Carolina",1.08,1.09,12,Google Data Centers PUE page
