t_seconds,date,x_m,y_m,z_m,status,earth_umbra,earth_penumbra,moon_umbra,moon_penumbra,any_umbra,any_penumbra,any_eclipse,earth_umbra_g,earth_penumbra_g,moon_umbra_g,moon_penumbra_g
0.0,2026-01-01T00:00:00.000Z,6920682.034203719,6649342.520354289,-3078868.9794696285,full_sunlight,False,False,False,False,False,False,False,0.5289909966128067,0.5195284707790816,2.5545349646737923,2.545072438840067
300.0,2026-01-01T00:05:00.000Z,7823494.364318426,6176299.217939321,-1494504.3435842937,full_sunlight,False,False,False,False,False,False,False,0.5251111736248886,0.5156486492781549,2.5581887376017263,2.548726213254992
600.0,2026-01-01T00:10:00.000Z,8452840.146483526,5487368.012863837,142165.1626486295,full_sunlight,False,False,False,False,False,False,False,0.5346859590545966,0.5252234280861708,2.5613849988095754,2.5519224678411496
900.0,2026-01-01T00:15:00.000Z,8786678.298042312,4606601.970827442,1773856.4543097438,full_sunlight,False,False,False,False,False,False,False,0.5572579687488496,0.5477954232599495,2.564022928664524,2.5545603831756236
1200.0,2026-01-01T00:20:00.000Z,8813330.105433889,3564787.5246939864,3343451.6974044265,full_sunlight,False,False,False,False,False,False,False,0.5917444499727704,0.5822818825517337,2.5660265555962813,2.556563988175245
1500.0,2026-01-01T00:25:00.000Z,8531889.731072264,2398356.683674635,4796016.933711475,full_sunlight,False,False,False,False,False,False,False,0.6365821309367912,0.6271195349190439,2.5673493999132764,2.557886803895529
1800.0,2026-01-01T00:30:00.000Z,7952245.682747049,1148098.1431000954,6080737.643884821,full_sunlight,False,False,False,False,False,False,False,0.6899012648853873,0.6804386345868314,2.567976852574015,2.5585142222754595
2100.0,2026-01-01T00:35:00.000Z,7094716.8296234375,-142281.7927398691,7152699.062912464,full_sunlight,False,False,False,False,False,False,False,0.7496794012088347,0.7402167321244338,2.567926070613448,2.5584634015290475
2400.0,2026-01-01T00:40:00.000Z,5989322.413378732,-1427693.5212223683,7974448.619126057,full_sunlight,False,False,False,False,False,False,False,0.8138470751333664,0.8043843640941106,2.567243537986043,2.557780826946787
2700.0,2026-01-01T00:45:00.000Z,4674718.236695796,-2663237.9783707783,8517289.250395805,full_sunlight,False,False,False,False,False,False,False,0.8803412786385855,0.8708785239215947,2.566000758647292,2.5565380039303007
3000.0,2026-01-01T00:50:00.000Z,3196840.885192521,-3805765.830067021,8762264.147915162,full_sunlight,False,False,False,False,False,False,False,0.9471180091362587,0.9376552105244705,2.5642887493080067,2.5548259506962183
3300.0,2026-01-01T00:55:00.000Z,1607308.8962657622,-4815370.864744162,8700804.92228588,full_sunlight,False,False,False,False,False,False,False,1.0121418265484152,1.0026789853380116,2.56221205324249,2.5527492120320865
3600.0,2026-01-01T01:00:00.000Z,-38365.274718236644,-5656770.287281516,8335025.786891041,full_sunlight,False,False,False,False,False,False,False,1.0733719803057513,1.063909099261177,2.5598829169908908,2.5504200359463165
3900.0,2026-01-01T01:05:00.000Z,-1682695.1022160486,-6300528.692985283,7677655.910942469,full_sunlight,False,False,False,False,False,False,False,1.1287645071315515,1.119301590389641,2.5574161026845115,2.5479531859426006
4200.0,2026-01-01T01:10:00.000Z,-3268211.2428432186,-6724086.499445964,6751611.019771395,full_sunlight,False,False,False,False,False,False,False,1.176308302953513,1.1668453558798575,2.5549246050720136,2.5454616579983576
4500.0,2026-01-01T01:15:00.000Z,-4739460.790793317,-6912557.820959554,5589214.527292699,full_sunlight,False,False,False,False,False,False,False,1.214108345959845,1.204645374962107,2.552516351669978,2.5430533806722404
4800.0,2026-01-01T01:20:00.000Z,-6044948.473104013,-6859267.894506185,4231088.737558929,full_sunlight,False,False,False,False,False,False,False,1.2405175388915732,1.2310545511959519,2.5502918163458967,2.5408288286502754
5100.0,2026-01-01T01:25:00.000Z,-7138952.225170972,-6566006.840876909,2724748.0664732913,full_sunlight,False,False,False,False,False,False,False,1.2542989954495265,1.2448359988479523,2.548342381866728,2.538879385265154
5400.0,2026-01-01T01:30:00.000Z,-7983146.140442054,-6042985.0933812335,1122938.4138482523,full_sunlight,False,False,False,False,False,False,False,1.2547791571519322,1.2453161597287796,2.546749242794044,2.537286245370892
5700.0,2026-01-01T01:35:00.000Z,-8547967.262213543,-5308486.402092018,-518220.8797052268,full_sunlight,False,False,False,False,False,False,False,1.2419426672491876,1.232479677097199,2.5455826364619996,2.5361196463100115
6000.0,2026-01-01T01:40:00.000Z,-8813670.089171313,-4388226.875519028,-2141224.6942160605,full_sunlight,False,False,False,False,False,False,False,1.2164342951525469,1.2069713200882433,2.5449012137436764,2.5354382386793732
6300.0,2026-01-01T01:45:00.000Z,-8771024.760085091,-3314442.346229975,-3689222.9837153116,full_sunlight,False,False,False,False,False,False,False,1.1794675845397962,1.1700046318287523,2.5447514007087317,2.5352884479976874
6600.0,2026-01-01T01:50:00.000Z,-8421631.252384951,-2124739.7727184566,-5108034.557231968,full_sunlight,False,False,False,False,False,False,False,1.132673996504946,1.123211072606933,2.545166648448776,2.5357037245507636
6900.0,2026-01-01T01:55:00.000Z,-7777840.568349741,-860759.3238573037,-6348055.60524141,full_sunlight,False,False,False,False,False,False,False,1.0779404490998243,1.0684775594429605,2.5461665174725643,2.5367036278157005
7200.0,2026-01-01T02:00:00.000Z,-6862292.032733013,433299.1857566843,-7365992.192745136,full_sunlight,False,False,False,False,False,False,False,1.017274295290164,1.0078114440819628,2.547755595017163,2.5382927438089613
7500.0,2026-01-01T02:05:00.000Z,-5707091.386823289,1712228.8675663336,-8126356.814666502,full_sunlight,False,False,False,False,False,False,False,0.9527145348573253,0.9432517249390279,2.5499222992269277,2.5404594893086307
7800.0,2026-01-01T02:10:00.000Z,-4352666.537416464,2931391.001723747,-8602681.538148886,full_sunlight,False,False,False,False,False,False,False,0.8862893918366543,0.8768266245855596,2.5526376830339874,2.5431749157828927
8100.0,2026-01-01T02:15:00.000Z,-2846346.65466694,4048259.266658981,-8778412.903336966,full_sunlight,False,False,False,False,False,False,False,0.8200090796457041,0.8105463549284798,2.5558544104300154,2.5463916857127913
8400.0,2026-01-01T02:20:00.000Z,-1240716.1150760502,5023883.4305361835,-8647465.663905943,full_sunlight,False,False,False,False,False,False,False,0.7558777431764111,0.7464150593546591,2.559506134174772,2.55004345035302
