altitude_km,semi_major_axis_m,inclination_deg,raan_deg,true_anomaly_deg,score,failed,failure_reason,eclipse_fraction,sunlight_fraction,full_sunlight_seconds,any_eclipse_seconds,earth_umbra_seconds,earth_penumbra_seconds,moon_umbra_seconds,moon_penumbra_seconds
15000.0,21378137.0,170.58974827357198,242.70251529514815,175.04405032710716,0.036210317460317464,False,,0.036210317460317464,0.9637896825396826,582900.0,21900.0,15600.0,6300.0,0.0,0.0
15000.0,21378137.0,109.35567505164256,260.6474524383193,109.04247923635367,0.06597222222222222,False,,0.06597222222222222,0.9340277777777778,564900.0,39900.0,36900.0,3000.0,0.0,0.0
15000.0,21378137.0,156.44664965592273,271.80738460734665,81.12695832370069,0.041666666666666664,False,,0.041666666666666664,0.9583333333333334,579600.0,25200.0,18900.0,6300.0,0.0,0.0
15000.0,21378137.0,18.043155647439306,346.2970225248058,338.5718907600559,0.09375,False,,0.09375,0.90625,548100.0,56700.0,54600.0,2100.0,0.0,0.0
15000.0,21378137.0,71.183798128858,129.09001356963026,99.32598593019534,0.0,False,,0.0,1.0,604800.0,0.0,0.0,0.0,0.0,0.0
15000.0,21378137.0,105.37485504109726,175.58105496029575,100.60526256356168,0.0,False,,0.0,1.0,604800.0,0.0,0.0,0.0,0.0,0.0
15000.0,21378137.0,134.93881197854424,248.20892863172352,36.85592502557529,0.09275793650793651,False,,0.09275793650793651,0.9072420634920635,548700.0,56100.0,54000.0,2100.0,0.0,0.0
15000.0,21378137.0,101.90527463607542,288.1327870808372,40.806047536603444,0.08978174603174603,False,,0.08978174603174603,0.910218253968254,550500.0,54300.0,52500.0,1800.0,0.0,0.0
15000.0,21378137.0,46.470532104342034,221.50178360455547,90.9176341848815,0.0,False,,0.0,1.0,604800.0,0.0,0.0,0.0,0.0,0.0
15000.0,21378137.0,58.834732845218994,352.19591550899344,7.770291865512178,0.0,False,,0.0,1.0,604800.0,0.0,0.0,0.0,0.0,0.0
15000.0,21378137.0,21.04665189645887,252.37203065805508,37.58856650213468,0.0,False,,0.0,1.0,604800.0,0.0,0.0,0.0,0.0,0.0
15000.0,21378137.0,73.32511605553844,252.5428448390686,145.15548357232882,0.0,False,,0.0,1.0,604800.0,0.0,0.0,0.0,0.0,0.0
15000.0,21378137.0,135.62723447077025,274.79402285040106,117.5049975465235,0.08432539682539683,False,,0.08432539682539683,0.9156746031746031,553800.0,51000.0,47700.0,3300.0,0.0,0.0
15000.0,21378137.0,35.60994917483053,274.7161304068383,85.39827506637099,0.0,False,,0.0,1.0,604800.0,0.0,0.0,0.0,0.0,0.0
15000.0,21378137.0,2.1350754020283063,10.09778504262826,155.18459572431416,0.0,False,,0.0,1.0,604800.0,0.0,0.0,0.0,0.0,0.0
15000.0,21378137.0,7.951427584064433,356.80971966190634,260.2648976769965,0.049107142857142856,False,,0.049107142857142856,0.9508928571428571,575100.0,29700.0,25500.0,4200.0,0.0,0.0
15000.0,21378137.0,114.49874475353236,18.231669983952855,24.282962683065023,0.0,False,,0.0,1.0,604800.0,0.0,0.0,0.0,0.0,0.0
15000.0,21378137.0,174.21312604869092,283.67699187237787,44.67675261924799,0.0,False,,0.0,1.0,604800.0,0.0,0.0,0.0,0.0,0.0
15000.0,21378137.0,49.50903930542184,242.70251529514815,46.787848967882525,0.0,False,,0.0,1.0,604800.0,0.0,0.0,0.0,0.0,0.0
15000.0,21378137.0,161.00668823433762,290.0047753379207,21.084597349038063,0.0,False,,0.0,1.0,604800.0,0.0,0.0,0.0,0.0,0.0
15000.0,21378137.0,56.80997519539357,54.81991200149402,42.27005381399363,0.0,False,,0.0,1.0,604800.0,0.0,0.0,0.0,0.0,0.0
